Coilnr;Date;Direction;Type eprouvette;Th mm;Re02 Mpa;Rm Mpa;A80 x10%;C ppm;Mn ppm;Si ppm;P ppm;S ppm;Al ppm;Ti ppm;Cr ppm;Nb ppm;B ppm;Mo ppm;Linespeed (m/min);SKP elongation (%);Heating C/s 660 to 750;t_soaking_hot s;Cooling C/s;t_soaking_cold s;soaking_hot C;soaking_cold C
91445200;44148;T;JI5;1,6;628;1003;149;718;25260;2553;111;11;1517;242;3001;251;19;978;45;0,12;1,809315287;143,3333333;-14,14772727;70,8;763,5;454
91443500;44148;T;JI5;2;650;1011;149;726;25200;2527;140;21;1529;202;3074;246;20;973;45;0,11;1,799761146;143,3333333;-14,07467532;70,8;762,75;458
91445200;44148;T;I20;1,6;655;1023;134;718;25260;2553;111;11;1517;242;3001;251;19;978;45;0,12;1,809315287;143,3333333;-14,14772727;70,8;763,5;454
91445200;44148;T;I20;1,6;625;968;129;718;25260;2553;111;11;1517;242;3001;251;19;978;45;0,12;1,809315287;143,3333333;-14,14772727;70,8;763,5;454
91443500;44148;T;JI5;2;628;1003;149;726;25200;2527;140;21;1529;202;3074;246;20;973;45;0,11;1,799761146;143,3333333;-14,07467532;70,8;762,75;458
91445000;44149;T;JI5;1,6;666;1028;141;736;25220;2503;129;2;1509;209;3042;242;21;980;50;0,12;2,009023355;129;-16,12554113;63,72;769;458
91444800;44149;T;JI5;1,6;612;987;155;736;25220;2503;129;2;1509;209;3042;242;21;980;48;0,12;1,933757962;134,375;-15,11688312;66,375;768,5;462
91444900;44149;T;JI5;1,6;616;1010;159;736;25220;2503;129;2;1509;209;3042;242;21;980;50;0,12;2,007696391;129;-16,07142857;63,72;768,25;458
91445000;44149;T;JI5;1,6;615;1004;140;736;25220;2503;129;2;1509;209;3042;242;21;980;50;0,12;2,009023355;129;-16,12554113;63,72;769;458
91445300;44149;T;JI5;2;645;997;150;731;25190;2527;124;13;1549;228;3026;246;20;964;45;0,13;1,811703822;143,3333333;-13,70941558;70,8;761,5;458
91445100;44149;T;JI5;2;671;1024;133;731;25190;2527;124;13;1549;228;3026;246;20;964;45;0,11;1,818869427;143,3333333;-14,36688312;70,8;768,75;456
91445300;44149;T;JI5;2;639;1013;143;731;25190;2527;124;13;1549;228;3026;246;20;964;45;0,13;1,811703822;143,3333333;-13,70941558;70,8;761,5;458
91445100;44149;T;JI5;2;640;1012;139;731;25190;2527;124;13;1549;228;3026;246;20;964;45;0,11;1,818869427;143,3333333;-14,36688312;70,8;768,75;456
91444800;44149;T;JI5;1,6;629;1011;146;736;25220;2503;129;2;1509;209;3042;242;21;980;48;0,12;1,933757962;134,375;-15,11688312;66,375;768,5;462
91444900;44149;T;JI5;1,6;617;1024;150;736;25220;2503;129;2;1509;209;3042;242;21;980;50;0,12;2,007696391;129;-16,07142857;63,72;768,25;458
91454000;44162;T;I20;1,6;699;1025;97;740;25470;2601;113;5;1574;239;2980;241;19;1019;49;0,07;2,024761146;131,6326531;-16,70454545;65,02040816;785,75;453
91454100;44162;T;JI5;1,6;664;1023;139;785;25060;2479;120;13;1511;192;2985;239;19;916;48;0,09;1,978343949;134,375;-16,44155844;66,375;785;452
91453701;44162;T;I20;1,6;630;1005;120;773;25275;2538;116;19;1427;256;3007;239;20;916;54;0,09;2,222770701;119,4444444;-18,02922078;59;773,5;438
91453701;44162;T;I20;1,6;661;1035;111;773;25275;2538;116;19;1427;256;3007;239;20;916;54;0,09;2,222770701;119,4444444;-18,02922078;59;773,5;438
91456000;44162;T;JI5;1,4;691;1008;131;714;25430;2492;126;11;1565;233;2994;240;21;975;47;0,07;1,940870488;137,2340426;-15,43777056;67,78723404;782,75;459
91453701;44162;T;JI5;1,6;675;1057;130;773;25275;2538;116;19;1427;256;3007;239;20;916;54;0,09;2,222770701;119,4444444;-18,02922078;59;773,5;438
91454100;44162;T;I20;1,6;699;1025;97;785;25060;2479;120;13;1511;192;2985;239;19;916;48;0,09;1,978343949;134,375;-16,44155844;66,375;785;452
91454100;44162;T;JI5;1,6;695;1027;126;785;25060;2479;120;13;1511;192;2985;239;19;916;48;0,09;1,978343949;134,375;-16,44155844;66,375;785;452
91456000;44162;T;JI5;1,4;675;1057;130;714;25430;2492;126;11;1565;233;2994;240;21;975;47;0,07;1,940870488;137,2340426;-15,43777056;67,78723404;782,75;459
91454000;44162;T;I20;1,6;712;1034;114;740;25470;2601;113;5;1574;239;2980;241;19;1019;49;0,07;2,024761146;131,6326531;-16,70454545;65,02040816;785,75;453
91455100;44163;T;JI5;2;595;971;160;742;25640;2644;122;24;1524;196;3026;237;20;1010;46;0,13;1,844639066;140,2173913;-14,06385281;69,26086957;760;457
91455100;44163;T;JI5;2;605;981;162;742;25640;2644;122;24;1524;196;3026;237;20;1010;46;0,13;1,844639066;140,2173913;-14,06385281;69,26086957;760;457
91454800;44163;T;JI5;2;637;992;165;742;25640;2644;122;24;1524;196;3026;237;20;1010;45;0,13;1,808121019;143,3333333;-14,02597403;70,8;763,5;457
91454300;44163;T;JI5;2;649;1000;161;773;25275;2538;116;19;1427;256;3007;239;20;916;45;0,11;1,804538217;143,3333333;-13,78246753;70,8;759,75;456
91454300;44163;T;JI5;2;600;986;161;773;25275;2538;116;19;1427;256;3007;239;20;916;45;0,11;1,804538217;143,3333333;-13,78246753;70,8;759,75;456
91454500;44163;T;JI5;1,2;666;1036;121;773;25275;2538;116;19;1427;256;3007;239;20;916;55;0,11;2,247876858;117,2727273;-17,91666667;57,92727273;777;458
91454500;44163;T;JI5;1,2;653;1045;144;773;25275;2538;116;19;1427;256;3007;239;20;916;55;0,11;2,247876858;117,2727273;-17,91666667;57,92727273;777;458
91454800;44163;T;JI5;2;604;979;161;742;25640;2644;122;24;1524;196;3026;237;20;1010;45;0,13;1,808121019;143,3333333;-14,02597403;70,8;763,5;457
91455600;44184;T;JI5;1,6;611;983;146;742;25390;2577;126;5;1565;222;3017;245;20;920;45;0,13;1,815286624;143,3333333;-14,17207792;70,8;769;462
91455600;44184;T;JI5;1,6;675;1018;140;742;25390;2577;126;5;1565;222;3017;245;20;920;45;0,13;1,815286624;143,3333333;-14,17207792;70,8;769;462
