Coilnr;Date;Direction;Type;Th mm;Re02 Mpa;Rm Mpa;A80 x10%;C ppm;Mn ppm;Si ppm;P ppm;S ppm;Al ppm;Ti ppm;Cr ppm;Nb ppm;B ppm;Mo ppm;Linespeed (m/min);SKP elongation (%);Heating C/s 660 to 750;t_soaking_hot s;Cooling C/s;t_soaking_cold s;soaking_hot C;soaking_cold C
42098159;02/01/2021;T;I20;1,776;753;1035;97;755;25210;2501;108;18;1603;209;2958;227;;914;51;0,18631423;1,936061894;103,5294118;-12,78049163;58,82352941;814,066125;492,717
42106973;02/01/2021;T;I20;1,024;710;1031;106;733;25060;2692;108;4;1612;250;2992;226;;988;109;0,39839837;2,918818085;48,44036697;-29,87395973;27,52293578;796,952815;470,638
42106980;02/01/2021;T;I20;1,0275816;685;1057;107;724;25255;2945;161;10;1530;276;3062;243;;954;135;0,409;3,464242526;39,11111111;-34,77679875;22,22222222;790,08355;480,04
42107028;02/01/2021;T;I20;1,225;641;1026;124;717;25040;2576;143;16;1423;204;2971;236;;971;119;0,209;2,544198854;44,3697479;-30,87455;25,21008403;776,139;469,279
42107035;02/01/2021;T;I20;1,235;677;1058;112;726;25380;2686;138;7;1528;285;2967;231;;973;120;0,19360515;2,575002454;44;-29,58887;25;776,9403;486,3813
42107059;02/01/2021;T;I20;1,016;700;1034;105;726;25380;2686;138;7;1528;285;2967;231;;973;117;0,37;3,04649498;45,12820513;-30,78384855;25,64102564;790,34105;472,47852
42107059;02/01/2021;T;I20;1,131;706;1058;98;726;25380;2686;138;7;1528;285;2967;231;;973;116;0,23;2,359738232;45,51724138;-28,20926667;25,86206897;775,115;493,63
42107097;02/01/2021;L;I20;0,8;739;1049;108;815;25340;2611;123;3;1420;244;3015;239;;960;127;0,439;5,855084748;41,57480315;-35,10988872;23,62204724;796,25908;455,23038
42107110;02/01/2021;L;I20;0,813;744;1059;85;787;25340;2502;124;10;1353;237;2987;234;;948;120;0,33;3,623334729;44;-31,227015;25;800,46976;488,992
42107172;02/01/2021;T;I20;1,098;630;1023;135;739;25091;2664;112;13;1447;227;3048;231;;915;132;0,18;2,809554632;40;-31,66702;22,72727273;774,64;491,078
