Coilnr;Date;Direction;Type eprouvette;Th mm;Re02 Mpa;Rm Mpa;A80 x10%;C ppm;Mn ppm;Si ppm;P ppm;S ppm;Al ppm;Ti ppm;Cr ppm;Nb ppm;B ppm;Mo ppm;Linespeed (m/min);SKP elongation (%);Heating C/s 660 to 750;t_soaking_hot s;Cooling C/s;t_soaking_cold s;soaking_hot C;soaking_cold C
524362;;L;I20;1,35;741,5;1093,5;105,5;721,5;25800;2740;160;11,5;1545;270;3040;250;31;870;79;0,15;4,128878161;7,594936709;-21,86500754;20,50632911;815;448
524362;;L;I20;1,35;753,5;1099,5;104,5;721,5;25800;2740;160;11,5;1545;270;3040;250;31;870;79;0,13;4,957419136;7,594936709;-21,80542986;20,50632911;818;452
524362;;L;I20;1,35;745;1079;105;721,5;25800;2740;160;11,5;1545;270;3040;250;31;870;79;0,2;4,244515262;7,594936709;-21,68627451;20,50632911;813;449
524356;;L;I20;1,35;715;1040;127,5;787,6666667;25900;2636,666667;166,6666667;15;1316,666667;253,3333333;3036,666667;240;33,66666667;963,3333333;79;0,186;4,688520919;7,594936709;-21,86500754;20,50632911;813;446
524356;;L;I20;1,35;632;989,5;142,5;787,6666667;25900;2636,666667;166,6666667;15;1316,666667;253,3333333;3036,666667;240;33,66666667;963,3333333;77;0,25;3,084089827;7,792207792;-20,61463047;21,03896104;794;439
524356;;L;I20;1,35;631,5;989;134,5;787,6666667;25900;2636,666667;166,6666667;15;1316,666667;253,3333333;3036,666667;240;33,66666667;963,3333333;77;0,26;3,002893122;7,792207792;-19,68552036;21,03896104;791;452
524356;;L;I20;1,35;649;999,5;129,5;787,6666667;25900;2636,666667;166,6666667;15;1316,666667;253,3333333;3036,666667;240;33,66666667;963,3333333;77;0,3;2,905335385;7,792207792;-18,46606335;21,03896104;787;469
524356;;L;I20;1,35;671,5;1015,5;129;787,6666667;25900;2636,666667;166,6666667;15;1316,666667;253,3333333;3036,666667;240;33,66666667;963,3333333;83;0,28;3,156837705;7,228915663;-19,90497738;19,51807229;787;469
899127;;L;I20;1,6;762;1060;101;690;24700;2650;130;15;1500;240;2870;250;21;900;60;0,15;16,96145125;10;-15,38461538;27;835;495
899127;;L;I20;1,6;757,6666667;1021,666667;103,3333333;690;24700;2650;130;15;1500;240;2870;250;21;900;59,9734;0,1417;16,67083728;10,0044353;-14,29230347;27,01197531;831;515
899127;;L;I20;1,6;765,6666667;1012,666667;91,33333333;690;24700;2650;130;15;1500;240;2870;250;21;900;59,9439;0,14;16,94559229;10,00935875;-15,50585045;27,02526863;835;492
899127;;L;I20;1,6;758,3333333;1009;91,66666667;690;24700;2650;130;15;1500;240;2870;250;21;900;60,0473;0,08;17,29253311;9,992122876;-19,78843828;26,97873177;835;398,02
899127;;L;I20;1,6;738,6666667;1016,333333;95;690;24700;2650;130;15;1500;240;2870;250;21;900;59,9308;0,19;16,62479486;10,01154665;-17,14264942;27,03117596;831,66;452,37
899127;;L;I20;1,6;752;1017;98;690;24700;2650;130;15;1500;240;2870;250;21;900;60;0,19;16,66666667;10;-17,239819;27;832;451
899203;;L;I20;1,6;750;1028;103;690;24700;2650;130;15;1500;240;2870;250;21;900;60;0,16;16,78004535;10;-16,74208145;27;832;462
