Coilnr;Date;Direction;Type;Th mm;Re02 Mpa;Rm Mpa;A80 x10%;C ppm;Mn ppm;Si ppm;P ppm;S ppm;Al ppm;Ti ppm;Cr ppm;Nb ppm;B ppm;Mo ppm;Linespeed (m/min);SKP elongation (%);Heating C/s 660 to 750;t_soaking_hot s;Cooling C/s;t_soaking_cold s;soaking_hot C;soaking_cold C
41971853;44202;L;I20;1,92;791;1058;107;813;25430;2611;123;2;1441;248;2998;238;19;959;51,92271423;0,395166;1,37393332;101,6895992;-13,55989118;57,77818137;798,6698303;487,6015744
41943566;44204;L;I20;1,01;690;1029;114;713;25290;2718;137;4;1549;262;3009;241;18;942;130,4686279;0,453954;3,771505605;40,46949894;-33,61753182;22,99403349;804,1547852;497,2452891
42071675;44205;L;I20;1,62;796;1037;106;758;25530;2681;121;7;1503;232;3012;243;20;967;78,01386261;0,394861;2,374375303;67,68027916;-21,72138985;38,45470407;813,6403503;484,193967
42071668;44205;L;I20;1,62;745;1036;105;758;25530;2681;121;7;1503;232;3012;243;20;967;76,81994629;0,394584;2,412430235;68,73214907;-21,56313005;39,05235743;814,9858704;481,3300181
42071705;44206;L;I20;1,92;776;1006;95;735;25686;2627;115;10;1506;250;3021;242;19;959;63,89112473;0,452333;2,008020053;82,6405862;-16,76087545;46,95487852;807,0020142;481,7019579
42056872;44206;L;I20;1,52;699;994;121;737;25590;2535;122;16;1487;215;2960;236;19;934;85,25726318;0,39518;2,393146056;61,9302075;-23,85227771;35,1876179;804,3466797;474,5040185
41943696;44206;L;I20;1,51;771;989;68;702;24860;2689;118;2;1539;255;2969;230;18;977;80,92234802;0,454912;2,53500009;65,247736;-22,96415505;37,07257727;814,2782288;477,2464278
42072232;44206;L;I20;1,52;707;980;118;718;25010;2561;93;6;1603;235;2726;242;19;827;80,07364655;0,395282;2,498526573;65,93929748;-22,72579345;37,46550993;812,8955383;477,7920415
41994517;44206;L;I20;1,53;791;1048;97;815;25340;2611;123;3;1420;244;3015;239;19;960;76,40335083;0,331184;2,462249194;69,10691668;-21,00522237;39,26529357;813,856842;486,1866789
41994517;44206;L;I20;1,53;791;1048;97;815;25340;2611;123;3;1420;244;3015;239;19;960;76,40335083;0,331184;2,462249194;69,10691668;-21,00522237;39,26529357;813,856842;486,1866789
42071453;44206;L;I20;1,22;773;1030;99;787;25770;2625;92;4;1583;247;3009;241;19;935;103,425972;0,375071;3,17642556;51,05100681;-28,45487813;29,00625387;810,5182495;483,2702012
42071316;44206;L;I20;1,12;771;1028;102;776;25683;2785;118;4;1489;281;3031;244;20;957;114,2706604;0,345344;3,486784566;46,20608633;-31,40847975;26,25345814;813,756897;489,4070185
42071682;44207;L;I20;1,62;732;1049;105;739;25620;2682;122;7;1486;232;3015;242;19;970;79,35294342;0,394077;2,108493457;66,53817455;-21,30809456;37,80578099;798,9681702;480,4395127
