Coilnr;Date;Direction;Type;Th mm;Re02 Mpa;Rm Mpa;A80 x10%;C ppm;Mn ppm;Si ppm;P ppm;S ppm;Al ppm;Ti ppm;Cr ppm;Nb ppm;B ppm;Mo ppm;Linespeed (m/min);SKP elongation (%);Heating C/s 660 to 750;t_soaking_hot s;Cooling C/s;t_soaking_cold s;soaking_hot C;soaking_cold C
251623;08/01/2021;L;I20;1;679;1031;129,6;723;24709;2552;116;30;1646;400;2739;246;21;958;127,991615;0,11037058;6,073297857;46,92494895;-48,17576962;24,75162142;807,2097;461,25278
251624;08/01/2021;L;I20;1;688;1025;120,1;717;24999;2489;139;15;1640;353;2678;251;23;865;127,358795;0,099121094;6,049488864;47,1581095;-47,76239854;24,87460721;808,64677;464,59482
251625;08/01/2021;L;I20;1;692;1028;101,2;717;24999;2489;139;15;1640;353;2678;251;23;865;128,79228;0,10003537;6,122465164;46,63322988;-48,35100262;24,59774763;808,43165;463,17462
251626;08/01/2021;L;I20;1;690;1017;92;717;24999;2489;139;15;1640;353;2678;251;23;865;129,09488;0,101142734;6,137854768;46,52392101;-48,49938023;24,5400902;808,30823;462,55087
251647;08/01/2021;L;I20;1,07;677;1033;125,9;717;24999;2489;139;15;1640;353;2678;251;23;865;98,84252;0,0987094;4,738953716;60,76332331;-36,7451347;32,05098373;811,6906;466,3852
251649;08/01/2021;L;I20;1,07;691;1044;110,1;766;24755;2970;148;16;1233;327;2747;237;18;913;122,20668;0,10008823;5,811447789;49,14624962;-45,68083715;25,9232965;808,313825;464,1593
251650;09/01/2021;L;I20;1,07;690;1040;120,9;766;24755;2970;148;16;1233;327;2747;237;18;913;123,123856;0,10116965;5,851829969;48,78014867;-46,25411887;25,73018831;808,273325;462,78082
251652;09/01/2021;L;I20;1,07;679;1033;121,4;767;24647;2748;131;37;1556;335;2835;230;18;844;94,99784;0,09929706;4,560721414;63,22249011;-35,39267286;33,34812665;813,18219;467,5654
251653;09/01/2021;L;I20;1,07;684;1050;114,5;767;24647;2748;131;37;1556;335;2835;230;18;844;118,86372;0,099974886;5,650331697;50,52845393;-44,29213781;26,6523713;807,54082;463,99127
251654;09/01/2021;L;I20;1,07;696;1032;114,9;767;24647;2748;131;37;1556;335;2835;230;18;844;110,38627;0,09918076;5,315121721;54,40894053;-41,13373994;28,69922138;814,95917;468,7257
251655;09/01/2021;L;I20;1,07;698;1054;113,7;767;24647;2748;131;37;1556;335;2835;230;18;844;121,8342;0,099955745;5,805277396;49,29650295;-45,60591128;26,00255101;808,9554;463,39664
251655;09/01/2021;L;I20;1,07;702;1078;116,3;767;24647;2748;131;37;1556;335;2835;230;18;844;121,8342;0,099955745;5,805277396;49,29650295;-45,60591128;26,00255101;808,9554;463,39664
251656;09/01/2021;L;I20;1,07;702;1078;116,3;767;24647;2748;131;37;1556;335;2835;230;18;844;123,86076;0,100027055;5,889408929;48,48993337;-46,2441614;25,57710771;808,237;464,50833
251657;09/01/2021;L;I20;1,02;671;1006;117,7;767;24647;2748;131;37;1556;335;2835;230;18;844;123,08738;0,09440501;5,888820289;48,79460429;-45,74649047;25,73781325;811,51565;467,7993
